"Summary of monthly rents recorded between April 2024 to March 2025 by borough and bedroom category for London [note 1, 2, 3, 4 ,5 ,6 ,7]",,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes that can be found within the notes worksheet.,,,,,,,,,,,,,,,
Borough,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile,,,,,,,,,
Barking and Dagenham,Room, - , .. , .. , .. , .. ,,,,,,,,,
Barking and Dagenham,Studio, - , .. , .. , .. , .. ,,,,,,,,,
Barking and Dagenham,One Bedroom, 160 ," 1,271 "," 1,200 "," 1,300 "," 1,350 ",,,,,,,,,
Barking and Dagenham,Two Bedrooms, 250 ," 1,557 "," 1,400 "," 1,550 "," 1,750 ",,,,,,,,,
Barking and Dagenham,Three Bedrooms, 160 ," 1,890 "," 1,700 "," 1,900 "," 2,100 ",,,,,,,,,
Barking and Dagenham,Four or More Bedrooms, 20 ," 2,465 "," 2,350 "," 2,500 "," 2,525 ",,,,,,,,,
Barnet,Room, 10 , 798 , 686 , 721 , 862 ,,,,,,,,,
Barnet,Studio, 110 ," 1,111 "," 1,006 "," 1,113 "," 1,200 ",,,,,,,,,
Barnet,One Bedroom, 710 ," 1,454 "," 1,300 "," 1,440 "," 1,600 ",,,,,,,,,
Barnet,Two Bedrooms," 1,210 "," 1,758 "," 1,550 "," 1,710 "," 1,950 ",,,,,,,,,
Barnet,Three Bedrooms, 430 ," 2,385 "," 2,050 "," 2,300 "," 2,650 ",,,,,,,,,
Barnet,Four or More Bedrooms, 170 ," 3,330 "," 2,800 "," 3,172 "," 3,613 ",,,,,,,,,
Bexley,Room, 10 , 877 , 750 , 938 ," 1,000 ",,,,,,,,,
Bexley,Studio, 10 ," 1,040 ", .. ," 1,000 ", .. ,,,,,,,,,
Bexley,One Bedroom, 150 ," 1,233 "," 1,100 "," 1,250 "," 1,350 ",,,,,,,,,
Bexley,Two Bedrooms, 270 ," 1,557 "," 1,400 "," 1,600 "," 1,700 ",,,,,,,,,
Bexley,Three Bedrooms, 210 ," 1,882 "," 1,700 "," 1,900 "," 2,100 ",,,,,,,,,
Bexley,Four or More Bedrooms, 40 ," 2,338 "," 2,096 "," 2,350 "," 2,585 ",,,,,,,,,
Brent,Room, 70 , 848 , 694 , 826 , 950 ,,,,,,,,,
Brent,Studio, 120 ," 1,341 "," 1,000 "," 1,213 "," 1,804 ",,,,,,,,,
Brent,One Bedroom, 520 ," 1,766 "," 1,500 "," 1,750 "," 1,950 ",,,,,,,,,
Brent,Two Bedrooms, 690 ," 2,158 "," 1,850 "," 2,100 "," 2,450 ",,,,,,,,,
Brent,Three Bedrooms, 270 ," 2,487 "," 2,100 "," 2,400 "," 2,700 ",,,,,,,,,
Brent,Four or More Bedrooms, 100 ," 3,432 "," 2,505 "," 3,000 "," 3,950 ",,,,,,,,,
Bromley,Room, 20 , 705 , 676 , 722 , 781 ,,,,,,,,,
Bromley,Studio, 50 , 983 , 905 , 975 ," 1,050 ",,,,,,,,,
Bromley,One Bedroom, 790 ," 1,267 "," 1,150 "," 1,300 "," 1,400 ",,,,,,,,,
Bromley,Two Bedrooms," 1,140 "," 1,597 "," 1,450 "," 1,600 "," 1,750 ",,,,,,,,,
Bromley,Three Bedrooms, 490 ," 1,988 "," 1,726 "," 1,950 "," 2,200 ",,,,,,,,,
Bromley,Four or More Bedrooms, 200 ," 2,679 "," 2,155 "," 2,500 "," 2,875 ",,,,,,,,,
Camden,Room, 20 , 949 , 861 , 960 ," 1,036 ",,,,,,,,,
Camden,Studio, 50 ," 1,573 "," 1,365 "," 1,650 "," 1,800 ",,,,,,,,,
Camden,One Bedroom, 310 ," 2,094 "," 1,750 "," 2,000 "," 2,350 ",,,,,,,,,
Camden,Two Bedrooms, 330 ," 2,753 "," 2,200 "," 2,600 "," 3,150 ",,,,,,,,,
Camden,Three Bedrooms, 150 ," 3,475 "," 2,768 "," 3,325 "," 4,000 ",,,,,,,,,
Camden,Four or More Bedrooms, 50 ," 5,103 "," 3,750 "," 4,350 "," 5,490 ",,,,,,,,,
City of London,Room, - , .. , .. , .. , .. ,,,,,,,,,
City of London,Studio, 10 ," 2,134 "," 1,688 "," 1,950 "," 2,588 ",,,,,,,,,
City of London,One Bedroom, 80 ," 2,343 "," 2,050 "," 2,250 "," 2,600 ",,,,,,,,,
City of London,Two Bedrooms, 50 ," 3,080 "," 2,805 "," 3,000 "," 3,288 ",,,,,,,,,
City of London,Three Bedrooms, 10 ," 4,561 ", .. ," 4,700 ", .. ,,,,,,,,,
City of London,Four or More Bedrooms, - , .. , .. , .. , .. ,,,,,,,,,
Croydon,Room, 40 , 686 , 551 , 712 , 817 ,,,,,,,,,
Croydon,Studio, 70 ," 1,040 ", 969 ," 1,050 "," 1,108 ",,,,,,,,,
Croydon,One Bedroom, 520 ," 1,207 "," 1,100 "," 1,200 "," 1,300 ",,,,,,,,,
Croydon,Two Bedrooms, 800 ," 1,532 "," 1,400 "," 1,500 "," 1,650 ",,,,,,,,,
Croydon,Three Bedrooms, 340 ," 1,909 "," 1,699 "," 1,900 "," 2,150 ",,,,,,,,,
Croydon,Four or More Bedrooms, 120 ," 2,482 "," 2,150 "," 2,438 "," 2,700 ",,,,,,,,,
Ealing,Room, 140 , 840 , 726 , 826 , 916 ,,,,,,,,,
Ealing,Studio, 60 ," 1,313 "," 1,150 "," 1,350 "," 1,450 ",,,,,,,,,
Ealing,One Bedroom, 460 ," 1,582 "," 1,409 "," 1,550 "," 1,750 ",,,,,,,,,
Ealing,Two Bedrooms, 650 ," 1,975 "," 1,750 "," 1,900 "," 2,200 ",,,,,,,,,
Ealing,Three Bedrooms, 220 ," 2,523 "," 2,100 "," 2,400 "," 2,800 ",,,,,,,,,
Ealing,Four or More Bedrooms, 80 ," 3,468 "," 2,700 "," 3,300 "," 4,063 ",,,,,,,,,
Enfield,Room, 60 , 668 , 600 , 676 , 726 ,,,,,,,,,
Enfield,Studio, 40 ," 1,113 "," 1,025 "," 1,100 "," 1,200 ",,,,,,,,,
Enfield,One Bedroom, 230 ," 1,307 "," 1,200 "," 1,300 "," 1,400 ",,,,,,,,,
Enfield,Two Bedrooms, 410 ," 1,612 "," 1,450 "," 1,600 "," 1,750 ",,,,,,,,,
Enfield,Three Bedrooms, 330 ," 2,051 "," 1,800 "," 2,000 "," 2,250 ",,,,,,,,,
Enfield,Four or More Bedrooms, 90 ," 2,806 "," 2,400 "," 2,600 "," 3,050 ",,,,,,,,,
Greenwich,Room, 110 , 862 , 699 , 850 ," 1,025 ",,,,,,,,,
Greenwich,Studio, 40 ," 1,072 ", 923 ," 1,000 "," 1,200 ",,,,,,,,,
Greenwich,One Bedroom, 680 ," 1,545 "," 1,350 "," 1,525 "," 1,750 ",,,,,,,,,
Greenwich,Two Bedrooms," 1,000 "," 1,885 "," 1,600 "," 1,850 "," 2,100 ",,,,,,,,,
Greenwich,Three Bedrooms, 480 ," 2,203 "," 1,850 "," 2,100 "," 2,500 ",,,,,,,,,
Greenwich,Four or More Bedrooms, 120 ," 2,927 "," 2,305 "," 2,750 "," 3,300 ",,,,,,,,,
Hackney,Room, 40 , 996 , 872 , 979 ," 1,070 ",,,,,,,,,
Hackney,Studio, 40 ," 1,291 "," 1,182 "," 1,280 "," 1,300 ",,,,,,,,,
Hackney,One Bedroom, 290 ," 2,029 "," 1,700 "," 2,000 "," 2,200 ",,,,,,,,,
Hackney,Two Bedrooms, 380 ," 2,444 "," 2,000 "," 2,400 "," 2,750 ",,,,,,,,,
Hackney,Three Bedrooms, 170 ," 3,094 "," 2,525 "," 3,050 "," 3,475 ",,,,,,,,,
Hackney,Four or More Bedrooms, 50 ," 4,244 "," 3,561 "," 3,938 "," 4,913 ",,,,,,,,,
Hammersmith and Fulham,Room, 40 ," 1,023 ", 904 ," 1,026 "," 1,160 ",,,,,,,,,
Hammersmith and Fulham,Studio, 50 ," 1,622 "," 1,409 "," 1,538 "," 1,700 ",,,,,,,,,
Hammersmith and Fulham,One Bedroom, 420 ," 1,962 "," 1,650 "," 1,869 "," 2,200 ",,,,,,,,,
Hammersmith and Fulham,Two Bedrooms, 530 ," 2,644 "," 2,100 "," 2,500 "," 3,025 ",,,,,,,,,
Hammersmith and Fulham,Three Bedrooms, 160 ," 3,348 "," 2,688 "," 3,250 "," 3,750 ",,,,,,,,,
Hammersmith and Fulham,Four or More Bedrooms, 80 ," 5,029 "," 3,900 "," 4,500 "," 5,775 ",,,,,,,,,
Haringey,Room, 30 , 760 , 676 , 726 , 798 ,,,,,,,,,
Haringey,Studio, 40 ," 1,109 ", 995 ," 1,083 "," 1,200 ",,,,,,,,,
Haringey,One Bedroom, 290 ," 1,615 "," 1,400 "," 1,600 "," 1,750 ",,,,,,,,,
Haringey,Two Bedrooms, 430 ," 2,015 "," 1,750 "," 1,950 "," 2,200 ",,,,,,,,,
Haringey,Three Bedrooms, 180 ," 2,491 "," 2,050 "," 2,413 "," 2,800 ",,,,,,,,,
Haringey,Four or More Bedrooms, 110 ," 3,609 "," 2,900 "," 3,300 "," 4,059 ",,,,,,,,,
Harrow,Room, 30 , 766 , 676 , 776 , 870 ,,,,,,,,,
Harrow,Studio, 50 ," 1,175 "," 1,000 "," 1,200 "," 1,400 ",,,,,,,,,
Harrow,One Bedroom, 310 ," 1,383 "," 1,259 "," 1,400 "," 1,500 ",,,,,,,,,
Harrow,Two Bedrooms, 580 ," 1,689 "," 1,550 "," 1,650 "," 1,800 ",,,,,,,,,
Harrow,Three Bedrooms, 360 ," 2,160 "," 1,900 "," 2,125 "," 2,300 ",,,,,,,,,
Harrow,Four or More Bedrooms, 140 ," 2,884 "," 2,500 "," 2,725 "," 3,034 ",,,,,,,,,
